V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Number of visits to a nightclub last month_codelist,Number of visits to a nightclub last month,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
11.37819032,0.980484579,17920,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Other personal theft,,16+,,Female
30.80496709,11.08103851,345,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Other personal theft,,25-34,,Female
0,0,22,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Other personal theft,,25-34,,Female
12.91891807,2.575959025,2677,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Other personal theft,,25-34,,Female
12.57919439,12.48317178,152,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Other personal theft,,35-44,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Other personal theft,,35-44,,Female
17.66901286,2.890051573,2969,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Other personal theft,,35-44,,Female
7.647262892,7.648401942,80,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Other personal theft,,45-54,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Other personal theft,,45-54,,Female
10.51450802,2.023327144,3180,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Other personal theft,,45-54,,Female
0,0,25,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Other personal theft,,55-64,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Other personal theft,,55-64,,Female
7.645577016,1.824339608,2914,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Other personal theft,,55-64,,Female
0,0,15,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Other personal theft,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Other personal theft,,65-74,,Female
5.195085165,1.376314761,2864,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Other personal theft,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Other personal theft,,75+,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Other personal theft,,75+,,Female
6.797735582,1.905954824,2351,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Other personal theft,,75+,,Female
37.56605538,14.91717956,280,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Other personal theft,,16-24,,Male
23.35981825,17.61958318,97,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Other personal theft,,16-24,,Male
24.70169382,6.858616392,848,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Other personal theft,,16-24,,Male
30.44990423,8.168448974,918,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Other personal theft,,16+,,Male
19.42608015,12.790645,180,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Other personal theft,,16+,,Male
13.46515222,1.247351273,15329,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Other personal theft,,16+,,Male
34.6137413,13.92425795,337,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Other personal theft,,25-34,,Male
15.34691457,15.33389309,46,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Other personal theft,,25-34,,Male
16.81382394,3.023757866,1878,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Other personal theft,,25-34,,Male
2.134526112,2.137950912,165,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Other personal theft,,35-44,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Other personal theft,,35-44,,Male
11.28205654,2.318518235,2516,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Other personal theft,,35-44,,Male
24.79331839,18.18751786,80,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Other personal theft,,45-54,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Other personal theft,,45-54,,Male
13.18230163,2.965417316,2843,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Other personal theft,,45-54,,Male
20.25992971,20.25125541,37,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Other personal theft,,55-64,,Male
0,0,11,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Other personal theft,,55-64,,Male
13.64896016,3.093055331,2671,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Other personal theft,,55-64,,Male
0,0,17,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Other personal theft,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Other personal theft,,65-74,,Male
9.039045465,2.383768909,2682,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Other personal theft,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Other personal theft,,75+,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Other personal theft,,75+,,Male
5.796730426,2.118999152,1891,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Other personal theft,,75+,,Male
2.248610461,1.626948165,607,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,16-24,,All adults
28.62759677,12.74504201,167,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,16-24,,All adults
4.892966353,1.517586857,1813,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,16-24,,All adults
1.948706111,1.184861037,1864,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,16+,,All adults
21.62210393,9.627557446,289,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,16+,,All adults
2.550210996,0.46482278,33249,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,16+,,All adults
2.800758799,2.796579691,682,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,25-34,,All adults
0,0,68,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,25-34,,All adults
1.780999997,0.557572846,4555,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,25-34,,All adults
0,0,317,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,35-44,,All adults
0,0,12,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,35-44,,All adults
2.765793787,0.9610169,5485,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,35-44,,All adults
0,0,160,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,45-54,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,45-54,,All adults
5.117845154,1.94635619,6023,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,45-54,,All adults
0,0,62,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,55-64,,All adults
0,0,16,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,55-64,,All adults
1.188239422,0.560542355,5585,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,55-64,,All adults
0,0,32,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,65-74,,All adults
0.97699944,0.481216696,5546,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,75+,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,75+,,All adults
0.565711143,0.294838697,4242,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,75+,,All adults
2.785776459,2.783692747,327,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,16-24,,Female
26.97685668,18.93964016,70,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,16-24,,Female
3.134766812,1.619545906,965,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,16-24,,Female
1.326800305,1.32607418,946,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,16+,,Female
22.53220503,15.80906637,109,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,16+,,Female
1.537645948,0.363077849,17920,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,16+,,Female
0,0,345,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,25-34,,Female
0,0,22,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,25-34,,Female
1.51477049,0.621097565,2677,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,25-34,,Female
0,0,152,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,35-44,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,35-44,,Female
2.3945378,1.452049423,2969,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,35-44,,Female
0,0,80,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,45-54,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,45-54,,Female
1.877877901,0.992087723,3180,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,45-54,,Female
0,0,25,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,55-64,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,55-64,,Female
0.783459028,0.454869018,2914,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,55-64,,Female
0,0,15,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,65-74,,Female
0.622738184,0.368287001,2864,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,75+,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,75+,,Female
0.551284146,0.397431109,2351,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,75+,,Female
1.729523019,1.730650303,280,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,16-24,,Male
29.83815951,17.14800752,97,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,16-24,,Male
6.624187458,2.546094542,848,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,16-24,,Male
2.494453423,1.894149202,918,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,16+,,Male
21.05816207,12.1141404,180,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,16+,,Male
3.629266618,0.853282983,15329,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,16+,,Male
5.035208341,5.021637842,337,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,25-34,,Male
0,0,46,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,25-34,,Male
2.063185539,0.942717832,1878,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,25-34,,Male
0,0,165,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,35-44,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,35-44,,Male
3.148157752,1.250874462,2516,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,35-44,,Male
0,0,80,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,45-54,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,45-54,,Male
8.471904864,3.819012567,2843,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,45-54,,Male
0,0,37,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,55-64,,Male
0,0,11,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,55-64,,Male
1.61014268,1.042065713,2671,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,55-64,,Male
0,0,17,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,65-74,,Male
1.359062865,0.916976912,2682,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Robbery,,75+,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Robbery,,75+,,Male
0.584648686,0.438041104,1891,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Robbery,,75+,,Male
1.637570571,1.636808338,607,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,16-24,,All adults
4.06836319,4.047327169,167,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,16-24,,All adults
0.627530251,0.480095939,1813,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,16-24,,All adults
1.543490523,0.938246738,1864,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,16+,,All adults
3.072789254,3.059687294,289,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,16+,,All adults
0.782347911,0.212880403,33249,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,16+,,All adults
2.414033599,1.730342484,682,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,25-34,,All adults
0,0,68,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,25-34,,All adults
1.311936798,0.591597978,4555,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,25-34,,All adults
0,0,317,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,35-44,,All adults
0,0,12,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,35-44,,All adults
1.762547515,0.990546927,5485,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,35-44,,All adults
0,0,160,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,45-54,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,45-54,,All adults
0.548970451,0.359034142,6023,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,45-54,,All adults
0,0,62,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,55-64,,All adults
0,0,16,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,55-64,,All adults
0.648729599,0.338442336,5585,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,55-64,,All adults
0,0,32,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,65-74,,All adults
0,0,5546,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,75+,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,75+,,All adults
0.189040346,0.189047021,4242,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,75+,,All adults
3.332173751,3.32823929,327,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,16-24,,Female
0,0,70,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,16-24,,Female
0.370943796,0.37062789,965,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,16-24,,Female
2.588889861,1.875220652,946,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,16+,,Female
0,0,109,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,16+,,Female
1.037833491,0.361502387,17920,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,16+,,Female
3.177202267,3.174072787,345,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,25-34,,Female
0,0,22,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,25-34,,Female
1.543905366,0.895533588,2677,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,25-34,,Female
0,0,152,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,35-44,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,35-44,,Female
3.368241759,1.948672783,2969,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,35-44,,Female
0,0,80,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,45-54,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,45-54,,Female
0.451830161,0.324038275,3180,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,45-54,,Female
0,0,25,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,55-64,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,55-64,,Female
0.599628341,0.439675226,2914,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,55-64,,Female
0,0,15,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,65-74,,Female
0,0,2864,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,75+,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,75+,,Female
0.333055041,0.333059604,2351,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,75+,,Female
0,0,280,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,16-24,,Male
7.051878847,6.988893128,97,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,16-24,,Male
0.880179553,0.880148019,848,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,16-24,,Male
0.626110637,0.626259295,918,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,16+,,Male
4.976835372,4.942392616,180,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,16+,,Male
0.510085747,0.211827294,15329,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,16+,,Male
1.8051765,1.805602969,337,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,25-34,,Male
0,0,46,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,25-34,,Male
1.066065569,0.764404049,1878,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,25-34,,Male
0,0,165,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,35-44,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,35-44,,Male
0.108810904,0.108790245,2516,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,35-44,,Male
0,0,80,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,45-54,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,45-54,,Male
0.649531447,0.64928827,2843,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,45-54,,Male
0,0,37,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,55-64,,Male
0,0,11,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,55-64,,Male
0.69990792,0.517402575,2671,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,55-64,,Male
0,0,17,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,65-74,,Male
0,0,2682,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,65-74,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Snatch theft,,75+,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Snatch theft,,75+,,Male
0,0,1891,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Snatch theft,,75+,,Male
6.374906027,3.378573506,607,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Attempted snatch and stealth theft,,16-24,,All adults
29.83629001,15.04460571,167,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Attempted snatch and stealth theft,,16-24,,All adults
5.018595757,2.058271559,1813,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Attempted snatch and stealth theft,,16-24,,All adults
5.867043176,2.186221194,1864,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Attempted snatch and stealth theft,,16+,,All adults
22.53501642,11.43079946,289,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Attempted snatch and stealth theft,,16+,,All adults
2.394417589,0.367858809,33249,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Attempted snatch and stealth theft,,16+,,All adults
4.25178654,2.586629762,682,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Attempted snatch and stealth theft,,25-34,,All adults
0,0,68,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Attempted snatch and stealth theft,,25-34,,All adults
3.029470166,0.958558712,4555,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Attempted snatch and stealth theft,,25-34,,All adults
10.53763528,10.44841181,317,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Attempted snatch and stealth theft,,35-44,,All adults
0,0,12,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Attempted snatch and stealth theft,,35-44,,All adults
2.828232084,1.090181455,5485,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Attempted snatch and stealth theft,,35-44,,All adults
4.830513661,4.826678887,160,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Attempted snatch and stealth theft,,45-54,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Attempted snatch and stealth theft,,45-54,,All adults
2.532623089,0.7380301,6023,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Attempted snatch and stealth theft,,45-54,,All adults
0,0,62,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Attempted snatch and stealth theft,,55-64,,All adults
0,0,16,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Attempted snatch and stealth theft,,55-64,,All adults
2.085913974,0.778276665,5585,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Attempted snatch and stealth theft,,55-64,,All adults
0,0,32,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Attempted snatch and stealth theft,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Attempted snatch and stealth theft,,65-74,,All adults
0.856391529,0.415017933,5546,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Attempted snatch and stealth theft,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Attempted snatch and stealth theft,,75+,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Attempted snatch and stealth theft,,75+,,All adults
0.418657283,0.297642064,4242,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Attempted snatch and stealth theft,,75+,,All adults
1.384223413,1.377408999,327,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Attempted snatch and stealth theft,,16-24,,Female
44.91845892,29.98556269,70,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Attempted snatch and stealth theft,,16-24,,Female
4.576424394,2.428964642,965,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Attempted snatch and stealth theft,,16-24,,Female
5.213254738,3.129619669,946,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Attempted snatch and stealth theft,,16+,,Female
37.51778562,25.24386576,109,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Attempted snatch and stealth theft,,16+,,Female
2.251791255,0.437726695,17920,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Attempted snatch and stealth theft,,16+,,Female
5.767287264,4.427476687,345,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Attempted snatch and stealth theft,,25-34,,Female
0,0,22,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Attempted snatch and stealth theft,,25-34,,Female
2.682906419,1.018838099,2677,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Attempted snatch and stealth theft,,25-34,,Female
23.4492465,22.99016625,152,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Attempted snatch and stealth theft,,35-44,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Attempted snatch and stealth theft,,35-44,,Female
3.024648349,1.319964042,2969,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Attempted snatch and stealth theft,,35-44,,Female
0,0,80,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Attempted snatch and stealth theft,,45-54,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Attempted snatch and stealth theft,,45-54,,Female
2.098008166,0.908932968,3180,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Attempted snatch and stealth theft,,45-54,,Female
0,0,25,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Attempted snatch and stealth theft,,55-64,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Attempted snatch and stealth theft,,55-64,,Female
2.209906641,1.086667034,2914,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Attempted snatch and stealth theft,,55-64,,Female
0,0,15,Quarter,2017 Q1,K04000001,,,1-3 times,,Incidence rate,,Attempted snatch and stealth theft,,65-74,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,4+ times,,Incidence rate,,Attempted snatch and stealth theft,,65-74,,Female
0.705749662,0.436233076,2864,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Attempted snatch and stealth theft,,65-74,,Female
